,bug,Código.do.Município,GEOCODIGO,Município,Estado,ano,Prestadores,Serviços,"popTotalAtendida",AG002...Quantidade.de.ligações.ativas.de.água..Ligações.,AG003...Quantidade.de.economias.ativas.de.água..Economias.,AG004...Quantidade.de.ligações.ativas.de.água.micromedidas..Ligações.,AG005...Extensão.da.rede.de.água..km.,AG006...Volume.de.água.produzido..1000.m..ano.,AG007...Volume.de.água.tratada.em.ETAs..1000.m..ano.,AG008...Volume.de.água.micromedido..1000.m..ano.,AG010...Volume.de.água.consumido..1000.m..ano.,AG011...Volume.de.água.faturado..1000.m..ano.,AG012...Volume.de.água.macromedido..1000.m..ano.,AG013...Quantidade.de.economias.residenciais.ativas.de.água..Economias.,AG014...Quantidade.de.economias.ativas.de.água.micromedidas..Economias.,AG015...Volume.de.água.tratada.por.simples.desinfecção..1000.m..ano.,AG017...Volume.de.água.bruta.exportado..1000.m..ano.,AG018...Volume.de.água.tratada.importado..1000.m..ano.,AG019...Volume.de.água.tratada.exportado..1000.m..ano.,AG020...Volume.micromedido.nas.economias.residenciais.ativas.de.água..1000.m..ano.,AG021...Quantidade.de.ligações.totais.de.água..Ligações.,AG022...Quantidade.de.economias.residenciais.ativas.de.água.micromedidas..Economias.,AG024...Volume.de.serviço..1000.m..ano.,popUrbanaAtendida,AG027...Volume.de.água.fluoretada..1000.m..ano.,AG028...Consumo.total.de.energia.elétrica.nos.sistemas.de.água..1000.kWh.ano.
0,0,220005,2200053,Acauã,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO,Água; Res Sólidos,1563.0,504.0,512.0,501.0,4.07,78.59,78.59,39.85,45.91,63.85,0.0,461.0,509.0,0.0,0.0,0.0,0.0,35.81,605.0,461.0,3.14,903.0,0.0,20.45
1,1,220025,2200251,Alagoinha do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI,Água; Res Sólidos,3316.0,1130.0,1134.0,900.0,5.07,198.73,0.0,42.4,105.86,142.57,0.0,1098.0,904.0,198.73,0.0,0.0,0.0,38.61,1453.0,872.0,0.0,2659.0,0.0,205.27
2,2,220027,2200277,Alegrete do Piauí,PI,2015,[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI,Água; Res Sólidos,4832.0,1250.0,1332.0,0.0,45.0,56.5,0.0,0.0,56.5,0.0,56.5,1100.0,0.0,0.0,56.5,0.0,0.0,0.0,1332.0,0.0,0.0,2660.0,0.0,65.0
3,3,220045,2200459,Alvorada do Gurguéia,PI,2015,[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI,Água; Res Sólidos,3954.0,1231.0,1273.0,0.0,32.3,450.0,19.0,0.0,432.0,380.0,450.0,1098.0,0.0,431.0,0.0,0.0,0.0,0.0,2495.0,0.0,0.0,1922.0,0.0,42.0
4,4,220070,2200707,Anísio de Abreu,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,6086.0,1876.0,1892.0,1875.0,14.82,346.51,0.0,81.01,196.67,250.41,0.0,1790.0,1891.0,346.51,0.0,0.0,0.0,75.84,2630.0,1789.0,0.0,4631.0,0.0,469.38
5,5,220090,2200905,Aroazes,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,4192.0,1243.0,1254.0,1094.0,22.17,282.41,0.0,106.68,149.99,179.95,0.0,1215.0,1105.0,282.41,0.0,0.0,0.0,100.8,1603.0,1072.0,0.0,3335.0,0.0,149.92
6,6,220095,2200954,Aroeiras do Itaim,PI,2015,,,,,,,,,,,,,,,,,,,,,,,,NaN,,
7,7,220105,2201051,Assunção do Piauí,PI,2015,[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN,Água; Res Sólidos,3378.0,1060.0,1725.0,0.0,18.0,398.7,0.0,0.0,398.7,398.72,0.0,1060.0,0.0,0.0,0.0,0.0,0.0,0.0,1210.0,0.0,0.0,3378.0,0.0,500.0
8,8,220110,2201101,Avelino Lopes,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL,Água; Res Sólidos,7873.0,2360.0,2382.0,770.0,17.93,578.37,578.37,44.31,286.85,322.07,0.0,2302.0,777.0,0.0,0.0,0.0,0.0,41.48,2997.0,753.0,24.73,6763.0,0.0,265.51
9,9,220155,2201556,Bela Vista do Piauí,PI,2015,[22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM,Res Sólidos,,,,,,,,,,,,,,,,,,,,,,NaN,,
