,Código.do.Município,GEOCODIGO,Município,Estado,Ano.de.Referência,Prestadores,Serviços,G06A...População.urbana.residente.do.s..município.s..com.abastecimento.de.água..Habitantes.,G06B...População.urbana.residente.do.s..município.s..com.esgotamento.sanitário..Habitantes.,G12A...População.total.residente.do.s..município.s..com.abastecimento.de.água..segundo.o.IBGE..Habitantes.,G12B...População.total.residente.do.s..município.s..com.esgotamento.sanitário..segundo.o.IBGE..Habitantes.,GE008...Quantidade.de.Sedes.municipais.atendidas.com.abastecimento.de.água..Sedes.,GE009...Quantidade.de.Sedes.municipais.atendidas.com.esgotamento.sanitário..Sedes.,GE010...Quantidade.de.Localidades..excluídas.as.sedes..atendidas.com.abastecimento.de.água..Localidades.,GE011...Quantidade.de.Localidades..excluídas.as.sedes..atendidas.com.esgotamento.sanitário..Localidades.,"popTotal",popUrbanaTotal
0,220005,2200053,Acauã,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO,Água; Res Sólidos,926.0,,6933.0,,1.0,,0.0,,6933,926
1,220025,2200251,Alagoinha do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI,Água; Res Sólidos,2727.0,,7501.0,,1.0,,0.0,,7501,2727
2,220027,2200277,Alegrete do Piauí,PI,2015,[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI,Água; Res Sólidos,2660.0,,4832.0,,1.0,,2.0,,4832,2660
3,220045,2200459,Alvorada do Gurguéia,PI,2015,[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI,Água; Res Sólidos,1932.0,,5278.0,,1.0,,10.0,,5278,1932
4,220070,2200707,Anísio de Abreu,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,4750.0,,9597.0,,1.0,,0.0,,9597,4750
5,220090,2200905,Aroazes,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,3421.0,,5763.0,,1.0,,0.0,,5763,3421
6,220095,2200954,Aroeiras do Itaim,PI,2015,,,,,,,,,,,2460,240
7,220105,2201051,Assunção do Piauí,PI,2015,[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN,Água; Res Sólidos,3460.0,,7686.0,,1.0,,22.0,,7686,3460
8,220110,2201101,Avelino Lopes,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL,Água; Res Sólidos,6936.0,,11433.0,,1.0,,0.0,,11433,6936
9,220155,2201556,Bela Vista do Piauí,PI,2015,[22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM,Res Sólidos,,,,,,,,,3919,1289
