,Unnamed: 0,Código.do.Município,GEOCODIGO,Município,Estado,Ano.de.Referência,Prestadores,Serviços,QD001...Tipo.de.atendimento.da.portaria.sobre.qualidade.da.água,qteParalisacoesAno,QD003...Duração.das.paralisações..soma.das.paralisações.maiores.que.6.horas.no.ano...Horas.ano.,QD004...Quantidade.de.economias.ativas.atingidas.por.paralisações..Economias.ano.,QD006...Quantidade.de.amostras.para.cloro.residual..analisadas...Amostras.ano..,QD007...Quantidade.de.amostras.para.cloro.residual.com.resultados.fora.do.padrão..Amostras.ano.,QD008...Quantidade.de.amostras.para.turbidez..analisadas...Amostras.ano.,QD009...Quantidade.de.amostras.para.turbidez.fora.do.padrão..Amostras.ano.,QD011...Quantidades.de.extravasamentos.de.esgotos.registrados..Extravasamentos.ano..,QD012...Duração.dos.extravasamentos.registrados..Horas.ano.,QD015...Quantidade.de.economias.ativas.atingidas.por.interrupções.sistemáticas..Economias.ano.,QD016...Quantidade.de.amostras.analisadas.para.aferição.de.coliformes.fecais..Amostras.,QD017...Quantidade.de.amostras.analisadas.para.aferição.de.coliformes.fecais..com.resultados.fora.do.padrão..Amostras.,QD019...Quantidade.mínima.de.amostras.para.turbidez..obrigatórias...Amostras.ano.,QD020...Quantidade.mínima.de.amostras.para.cloro.residual..obrigatórias...Amostras.ano.,QD021...Quantidade.de.interrupções.sistemáticas..Interrupções.ano.,QD022...Duração.das.interrupções.sistemáticas..Horas.ano.,QD023...Quantidade.de.reclamações.ou.solicitações.de.serviços..Reclamações.ano.,QD024...Quantidade.de.serviços.executados..Serviços.ano.,QD025...Tempo.total.de.execução.dos.serviços..Horas.ano.,QD026...Quantidade.de.amostras.para.coliformes.totais..analisadas...Amostras.ano.,QD027...Quantidade.de.amostras.para.coliformes.totais.com.resultados.fora.do.padrão..Amostras.ano.,QD028...Quantidade.mínima.de.amostras.para.coliformes.totais..obrigatórias...Amostras.ano.,QD029...Atendimento.integral.da.portaria.518.04
0,0,220005,2200053,Acauã,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO,Água; Res Sólidos,Atende integralmente,0.0,0.0,0.0,7.0,0.0,7.0,2.0,,,0.0,,,120.0,120.0,0.0,0.0,234.0,126.0,,7.0,4.0,120.0,
1,1,220025,2200251,Alagoinha do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI,Água; Res Sólidos,Atende integralmente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,1110.0,1057.0,,0.0,0.0,60.0,
2,2,220027,2200277,Alegrete do Piauí,PI,2015,[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI,Água; Res Sólidos,,12.0,86.0,800.0,36.0,0.0,36.0,0.0,,,800.0,,,36.0,36.0,4.0,48.0,62.0,55.0,115.0,36.0,0.0,36.0,
3,3,220045,2200459,Alvorada do Gurguéia,PI,2015,[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI,Água; Res Sólidos,,4.0,37.0,1020.0,120.0,8.0,120.0,8.0,,,1020.0,,,120.0,120.0,2.0,2.0,44.0,44.0,36.0,100.0,18.0,100.0,
4,4,220070,2200707,Anísio de Abreu,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,33.0,0.0,33.0,12.0,,,0.0,,,120.0,120.0,0.0,0.0,1998.0,1695.0,,33.0,1.0,120.0,
5,5,220090,2200905,Aroazes,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,464.0,378.0,,0.0,0.0,60.0,
6,6,220095,2200954,Aroeiras do Itaim,PI,2015,,,,NaN,,,,,,,,,,,,,,,,,,,,,,
7,7,220105,2201051,Assunção do Piauí,PI,2015,[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN,Água; Res Sólidos,,19.0,35.0,,1.0,1.0,1.0,1.0,,,0.0,,,1.0,1.0,0.0,0.0,20.0,20.0,90.0,6.0,6.0,6.0,
8,8,220110,2201101,Avelino Lopes,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL,Água; Res Sólidos,Atende integralmente,0.0,0.0,0.0,24.0,3.0,24.0,2.0,,,0.0,,,120.0,120.0,0.0,0.0,631.0,546.0,,24.0,1.0,120.0,
9,9,220155,2201556,Bela Vista do Piauí,PI,2015,[22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM,Res Sólidos,,NaN,,,,,,,,,,,,,,,,,,,,,,
